platform	external_id	title	price	rating	review_count	sold	commission_rate	source_url	affiliate_link	image_url	purchase_signal	selected_order
shopee	23394297832	Coletor de pó para Furadeira/Parafusadeira	R$ 14,90	4.9		122	28	https://shopee.com.br/product/1581724838/23394297832	https://s.shopee.com.br/6pzMvFozGs	https://down-bs-br.img.susercontent.com/br-11134207-7r98o-mdtbtahj38i930.webp	122 vendas na Shopee	15
shopee	22398321556	Caneta Detectora De Tensão Com Alerta Sonoro 90V-1000V Teste Voltagem	R$ 18,99	4.9		59	28	https://shopee.com.br/product/406969593/22398321556	https://s.shopee.com.br/3B64YWXkBJ	https://down-bs-br.img.susercontent.com/br-11134207-7r98o-m79u3mmsv61872.webp	59 vendas na Shopee	16
shopee	22197931739	Serra Circular Sem Fio 1200W Recarregável Com Motor Brushless 6 Polegadas 8 Discos MQL-SC1206 EXBOM	R$ 559,20	4.9		47	28	https://shopee.com.br/product/411693079/22197931739	https://s.shopee.com.br/8AUkVikkEM	https://down-bs-br.img.susercontent.com/br-11134207-7r98o-m18hja7s6e9sfa.webp	47 vendas na Shopee	17
shopee	53955114848	Lixa 180 280 600 1200 2500 d'água kit 1 2 ou 3 folhas cada Grão Polimento Licha água Plásticos Metal	R$ 25,71	4.9		28	28	https://shopee.com.br/product/230262590/53955114848	https://s.shopee.com.br/4qEIXbSETL	https://down-bs-br.img.susercontent.com/br-11134207-81ztc-mjswbowhlvk104.webp	28 vendas na Shopee	18
shopee	21899384773	Furadeira e Parafusadeira Sem Fio Recarregável 36V com 2 Baterias e Maleta MQL-PFX5600 EXBOM	R$ 229,50	4.9		21	28	https://shopee.com.br/product/411693079/21899384773	https://s.shopee.com.br/5Ar8wEGWTL	https://down-bs-br.img.susercontent.com/br-11134207-7r98o-m05ug5wmd60t56.webp	21 vendas na Shopee	19
shopee	23091201244	Aplicador de detergente lavadora de alta pressão electrolux	R$ 37,27	4.8		463	28	https://shopee.com.br/product/628492017/23091201244	https://s.shopee.com.br/1gHGlnzsl1	https://down-bs-br.img.susercontent.com/br-11134207-7r98o-mddfhuh6le0i76.webp	463 vendas na Shopee	20
shopee	45405300503	Lixa 180 400 1200 2000 3000 kit 1 2 ou 3 folhas de cada Grão Polimento Farol Licha Plásticos Metal	R$ 27,96	4.8		18	28	https://shopee.com.br/product/230262590/45405300503	https://s.shopee.com.br/7VF3iX8Ksy	https://down-bs-br.img.susercontent.com/br-11134207-81ztc-mjw19lu3hcee4a.webp	18 vendas na Shopee	21
shopee	22197450683	Kit Ferro de Solda Exbom 60W Ajustável + 5 Pontas Suporte Profissional Eletrônica ajusta temperatura	R$ 49,90	4.7		98	28	https://shopee.com.br/product/545610131/22197450683	https://s.shopee.com.br/BSSz44uhs	https://down-bs-br.img.susercontent.com/br-11134207-820l8-mofh4i7kf7k320.webp	98 vendas na Shopee	22
shopee	23692510990	Estojo Solze para ferramentas acolchoado, em lona reforçada, badisco, apmerímetro , multimetro.	R$ 72,93	4.7		13	28	https://shopee.com.br/product/1081252292/23692510990	https://s.shopee.com.br/6pzMvKATCH	https://down-bs-br.img.susercontent.com/br-11134207-81z1k-mdx8agwrl4aqde.webp	13 vendas na Shopee	23
shopee	23899147716	Bits Impacto Ponteiras Magnética Adaptador de soquete P/ Parafusadeira e furadeira	R$ 78,99	4.9		53	25	https://shopee.com.br/product/1669471716/23899147716	https://s.shopee.com.br/3LPUktoC0k	https://down-bs-br.img.susercontent.com/br-11134207-81z1k-mgqnue7rii9w04.webp	53 vendas na Shopee	24
shopee	21299385249	Kit Chaves De Precisão Magnético Profissional 152 Em 1 Com Estojo E Ventosa PRO-CKS152 EXBOM	R$ 98,10	5		197	23	https://shopee.com.br/product/411693079/21299385249	https://s.shopee.com.br/30meMItJrx	https://down-bs-br.img.susercontent.com/br-11134207-7r98o-m096pjlldxvh2e.webp	197 vendas na Shopee	25
shopee	18799904113	Parafusadeira Bivolt Furadeira Impacto 2 Bateria 21v Sem Fio	R$ 224,93	5		43	23	https://shopee.com.br/product/1443634517/18799904113	https://s.shopee.com.br/9pcyVGrRTO	https://down-bs-br.img.susercontent.com/br-11134207-81z1k-mf8kynxe77k686.webp	43 vendas na Shopee	26
shopee	58260090352	Chave De Impacto 48v Brushless Portatil Sem Fio 2 Soquete	R$ 186,89	5		32	23	https://shopee.com.br/product/1499661843/58260090352	https://s.shopee.com.br/6pzMvmL9qg	https://down-bs-br.img.susercontent.com/sg-11134201-820l5-mnulutui1m2r2b.webp	32 vendas na Shopee	27
shopee	23194391407	Chave De Impacto Potente Catraca 1/2 Parafusadeira Furadeira	R$ 712,43	5		20	23	https://shopee.com.br/product/1443634517/23194391407	https://s.shopee.com.br/4VbS9UqB2f	https://down-bs-br.img.susercontent.com/br-11134207-81z1k-mehlrd7dt7ghac.webp	20 vendas na Shopee	28
shopee	23198377321	Kit Disco Diamantado e Serra Circular C/4 Peças 110 x 20mm Para Serra Mármore	R$ 38,64	4.9		135	23	https://shopee.com.br/product/721748340/23198377321	https://s.shopee.com.br/6pzMvncLvb	https://down-bs-br.img.susercontent.com/br-11134207-81ztn-mkjltigm6eblff.webp	135 vendas na Shopee	29
shopee	22998659730	Kit Boinas Polimento Automotivo 5″ Corte + Refino + Lustro Compatível Politriz Rotativa	R$ 125,91	4.9		66	23	https://shopee.com.br/product/798965572/22998659730	https://s.shopee.com.br/4LI1xD7rud	https://down-bs-br.img.susercontent.com/br-11134207-7r98o-mbdx9cenvqfj5f.webp	66 vendas na Shopee	30
